REGIÓN,PROVINCIA,DISTRITO,NOMBRE DEL RECURSO,SUB TIPO CATEGORÍA,URL,LATITUD,LONGITUD
Cusco,Cusco,CUSCO,Festividad Del Señor De Los Temblores,Fiestas religiosas-patronales,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=11,-719.801,-135.153
Cajamarca,Contumaza,YONAN,Petroglifos De Yonan,Petroglifos (Grabados en piedra),https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=16,-79.130.786,-7.253.107.858
Amazonas,Chachapoyas,LEVANTO,Sitio Arqueológico De Collacruz,Zonas arqueológicas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=17,-7.790.701.354,-6.310.457.893
Huánuco,Lauricocha,QUEROPALCA,Nevado De Yerupajá De Queropalca,Nevado,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=24,-7.690.523.484,-1.026.842.393
Huánuco,Lauricocha,QUEROPALCA,Cordillera Huayhuash - Huánuco,Cordillera,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=25,-7.688.232.422,-1.021.221.925
Apurímac,Aymaraes,CARAYBAMBA,Andenerías De Caraybamba,Andenes,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=29,-7.314.607.571,-1.437.953.841
Apurímac,Cotabambas,CHALLHUAHUACHO,Sitio Arqueológico De Marcapuchungo,Zonas arqueológicas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=30,-7.224.641.025,-1.411.860.216
Apurímac,Abancay,ABANCAY,Puente Colonial Pachachaca,Puentes,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=31,-7.293.724.537,-136.630.431
Apurímac,Abancay,CURAHUASI,Templo Santa Catalina De Curahuasi,Templo,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=32,-7.269.592.778,-13.542.775
Apurímac,Chincheros,COCHARCAS,Templo Colonial De Cocharcas,Templo,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=34,-7.373.803.403,-1.361.193.803
Apurímac,Aymaraes,CHALHUANCA,Baños Termales De Pincahuacho,Otros,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=36,-73.276.745,-14.283.773
Ica,Pisco,HUMAY,Centro Administrativo Tambo Colorado,Templos,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=37,-7.582.944.777,-1.370.514.103
Junín,Jauja,APATA,Laguna De Pomacocha,Lagunas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=42,-75.252.222,-11.785.833
Piura,Piura,CATACAOS,Pueblo Simbilá,Artesanales,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=48,-806.515.789,-5.246.814.584
Piura,Piura,PIURA,Iglesia Nuestra Señora Del Carmen,Iglesias,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=49,-8.062.566.608,-5.193.248.648
Piura,Piura,PIURA,Parque Ecológico Kurt Beer,Parques,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=50,-8.066.737.309,-5.208.107.683
Piura,Sechura,SECHURA,Reserva Nacional Illescas,Reservas Nacionales,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=61,-8.109.753.974,-597.441.957
Piura,Sechura,VICE,Manglares San Pedro De Vice,Manglares,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=62,-8.088.067.308,-5.545.027.262
Piura,Sechura,VICE,Playa San Pablo,Playas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=63,-8.094.049,-544.043
Piura,Sechura,CRISTO NOS VALGA,Laguna Ñapique,Lagunas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=66,-8.069.099.665,-5.532.675.294
Piura,Sechura,SECHURA,Estuario De Virrilá,Humedales,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=68,-8.084.821.701,-5.837.882.172
Piura,Morropon,CHULUCANAS,Pueblo Artesanal La Encantada,Artesanales,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=69,-8.019.854.575,-5.093.196.353
Piura,Talara,LA BREA,Playa Punta Balcones,Puntas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=72,-8.132.556.438,-4.679.214.286
San Martín,Moyobamba,MOYOBAMBA,Aguas Sulfurosas De Oromina,Ojos de agua,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=74,-7.700.390.741,-6.067.984.358
Amazonas,Bagua,ARAMANGO,Catarata Numparket,Cataratas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=85,-7.833.379,-5.493.377
Amazonas,Utcubamba,YAMON,Pinturas Rupestres De Yamon,Pintura Rupestre,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=87,-7.852.254.614,-6.063.139.254
San Martín,San Martin,SAUCE,Lago Sauce (Laguna Azul),Lagunas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=88,-7.621.833.801,-6.693.080.465
San Martín,San Martin,CHAZUTA,Cascada De Tununtunumba,Cascadas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=90,-761.175,-6.541.111.111
San Martín,San Martin,LA BANDA DE SHILCAYO,Cataratas De Ahuashiyacu,Cataratas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=94,-76.307.498,-6.453.759
La Libertad,Trujillo,HUANCHACO,Complejo Arqueológico Chan Chan,Zonas arqueológicas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=96,-790.696.308,-8.097.624.183
Áncash,Huaylas,CARAZ,Sitio Arqueológico De Tumshukaiko,Templos,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=100,-7.781.460.725,-9.037.916.223
La Libertad,Santiago De Chuco,QUIRUVILCA,Cuento La Laguna Del Toro,Cuentos,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=104,-790.335,-81.095
La Libertad,Ascope,MAGDALENA DE CAO,Complejo Arqueológico El Brujo,Templos,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=109,-79.305.242,-7.911.121.904
La Libertad,Trujillo,MOCHE,Huacas Del Sol Y La Luna,Zonas arqueológicas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=114,-7.899.200.865,-8.136.365.242
La Libertad,Trujillo,HUANCHACO,Balneario De Huanchaco,Playas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=115,-7.912.157.178,-8.078.690.265
La Libertad,Pacasmayo,GUADALUPE,Complejo Arqueológico De Pakatnamú,Templos,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=125,-795.819,-73.151
La Libertad,Santiago De Chuco,CACHICADAN,Campo Termal Ojo De Aguas Calientes,Ojos de agua,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=126,-7.814.302.415,-8.093.125.798
La Libertad,Sanchez Carrion,HUAMACHUCO,Laguna Sausacocha,Lagunas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=127,-7.798.433.125,-7.800.704.039
La Libertad,Trujillo,SIMBAL,Fiesta Patronal Del Señor De La Piedad,Fiestas religiosas-patronales,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=130,-788.149,-797.679
La Libertad,Chepen,CHEPEN,Cerro Chepén - Vía Crusis,Esculturales,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=132,-79.411.329,-7.214.511
La Libertad,Pacasmayo,SAN PEDRO DE LLOC,Iglesia Matriz De San Pedro De Lloc,Iglesias,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=134,-795.046.605,-7.431.925.937
La Libertad,Pacasmayo,SAN PEDRO DE LLOC,El Pellón Sanpedrano,"Tejidos(lanas, fibras de animales, fibra vegetal. Etc)",https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=135,-795.039,-74.279
La Libertad,Pacasmayo,SAN JOSÉ,Bosque Natural El Cañoncillo,Bosques de protección,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=140,-7.942.158.891,-737.232.825
San Martín,Moyobamba,CALZADA,Morro De Calzada,Cerros,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=141,-770.375.061,-6.021.409.369
Loreto,Maynas,IQUITOS,Iglesia Matriz De Iquitos,Iglesias,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=147,-732.448.277,-3.749.447.112
Loreto,Maynas,IQUITOS,Casa Morey,Casa de Valor Arquitectónico,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=148,-73.242.046,-3.746.774
Loreto,Maynas,IQUITOS,Ex Colegio San Agustín,Escuela o Colegio,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=149,-7.324.255.011,-3.748.985.059
Loreto,Maynas,PUNCHANA,Mirador De La Comunidad De Independencia - Punchana,Miradores,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=150,-7.323.462,-365.113
Loreto,Maynas,SAN JUAN BAUTISTA,Parque Turístico De Quistococha,Zoológicos,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=151,-7.332.069.397,-3.828.286.923
Loreto,Maynas,BELÉN,Pueblo De Belén,Tradicionales,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=152,-7.324.794,-375.788
Lambayeque,Chiclayo,SAÑA,Complejo Arqueológico Huaca Rajada - Sipán,Templos,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=155,-7.960.093.122,-6.800.793.623
Lambayeque,Chiclayo,PIMENTEL,Festival Caballito De Totora,Festivales,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=157,-799.362,-683.708
Lambayeque,Lambayeque,OLMOS,Quebrada De Los Boliches O Petroglifos Los Pipochinos,Petroglifos (Grabados en piedra),https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=159,-79.681.543,-598.854
Lambayeque,Chiclayo,ETEN PUERTO,Centenario Muelle De Puerto Eten,Muelles,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=161,-7.986.669,-693.414
Lambayeque,Chiclayo,REQUE,Semana Santa En Reque,Fiestas religiosas-patronales,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=162,-798.181,-686.449
Lambayeque,Lambayeque,LAMBAYEQUE,Complejo Arqueologico Chotuna-Chornancap,Zonas arqueológicas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=163,-7.996.875,-671.949
Cajamarca,San Ignacio,NAMBALLE,Santuario Nacional Tabaconas Namballe,Santuarios Nacionales,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=167,-7.931.236.267,-5.157.282.605
Cajamarca,San Ignacio,SAN IGNACIO,Pinturas Rupestre Del Cerro Faical,Pintura Rupestre,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=169,-78.938.983,-5.177.178
Cajamarca,San Ignacio,SAN IGNACIO,Finca Parcela Quinta San Antonio,Otros,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=179,-7.901.435,-515.457
Cajamarca,Contumaza,TANTARICA,Leyenda Del Principe Cuan Y La Princesa Tantarica,Otros,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=181,-789.355,-730.078
Junín,Huancayo,HUANCAYO,Casa Del Artesano De Huancayo,Mercados  Artesanales,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=195,-752.141,-120.704
Junín,Huancayo,HUANCAYO,Parque De La Identidad Wanka,Parques,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=196,-751.977.013,-120.491.911
Junín,Huancayo,EL TAMBO,Pueblo Artesanal De Cochas Grande,Artesanales,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=197,-7.519.966,-1.200.215
Junín,Huancayo,HUALHUAS,Pueblo Artesanal De Hualhuas,Artesanales,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=198,-7.525.101,-119.716
Pasco,Oxapampa,OXAPAMPA,Parque Nacional Yanachaga Chemillén Zona De Uso Turístico San Alberto,Parques Nacionales,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=200,-7.536.107.006,-1.053.939.938
Pasco,Oxapampa,OXAPAMPA,Iglesia Matriz Santa Rosa De Oxapampa,Iglesias,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=201,-7.540.413.545,-1.057.471.446
Pasco,Oxapampa,OXAPAMPA,Casa Tradicional Hassinger Baumann Haus,Casa de Valor Arquitectónico,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=202,-754.039.279,-1.057.313.322
Pasco,Oxapampa,OXAPAMPA,Iglesia Nuestra Señora De Asunción De Quillazú,Iglesias,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=203,-75.437.786,-1.052.675.192
Pasco,Oxapampa,POZUZO,Iglesia San José - Pozuzo,Iglesias,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=215,-7.555.130.079,-1.006.779.543
Pasco,Oxapampa,HUANCABAMBA,Cascada Anana,Cascadas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=219,-7.562.737.883,-104.890.464
Áncash,Casma,CASMA,Zona Arqueológica Monumental Cerro Sechín,Templos,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=223,-7.826.133.551,-948.319.402
Áncash,Casma,CASMA,Museo Regional De Casma Max Uhle,Museos,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=224,-78.257.863,-9.479.244
Ica,Ica,ICA,Museo Regional De Ica Adolfo Bermúdez Jenkins,Museos,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=230,-7.573.386.937,-1.407.191.647
Ica,Ica,PARCONA,Bodega Vista Alegre,"Bodegas de pisco, vinos y/u otros licores",https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=231,-7.572.240.001,-1.405.506.194
Áncash,Sihuas,QUICHES,Puente Antonio Raimondi,Puentes,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=11471,-7.745.854.543,-8.342.064.296
Ica,Ica,ICA,Laguna De Huacachina,Lagunas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=237,-7.576.291.502,-1.408.785.405
Ica,Ica,OCUCAJE,Bodega Ocucaje,"Bodegas de pisco, vinos y/u otros licores",https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=238,-7.567.636.549,-1.435.600.249
Ica,Ica,ICA,Caserío De Cachiche,Tradicionales,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=239,-7.573.552.161,-1.409.501.077
Ica,Chincha,CHINCHA BAJA,Huaca La Centinela,Templos,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=241,-761.710.453,-1.343.973.382
Ica,Chincha,EL CARMEN,Casa Hacienda San José,Casa-Hacienda,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=242,-7.607.299.447,-1.351.956.932
Ica,Chincha,GROCIO PRADO,Santuario De La Melchorita,Santuario,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=243,-7.615.720.242,-1.339.866.065
Ica,Chincha,EL CARMEN,Comunidad Del Carmen,Costa,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=244,-760.539,-13.502
Ica,Palpa,RÍO GRANDE,Sitio Arqueológico La Muña,Templos,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=245,-75.224.297,-14.554.393
Ica,Palpa,PALPA,Petroglifos De Chicchitara,Petroglifos (Grabados en piedra),https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=246,-7.513.591,-1.446.534.111
Ica,Palpa,PALPA,Paisaje Arqueologico Telar De Sacramento - Reloj Solar,Geoglifos (Grabado en tierra),https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=247,-7.519.253.254,-1.452.387.735
Ica,Nazca,NAZCA,Acueducto De Cantayo,Otros,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=250,-74.911.519,-1.482.651.299
Ica,Nazca,NAZCA,Centro Ceremonial Cahuachi,Ciudadelas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=251,-75.115.087,-14.819.147
Ica,Nazca,NAZCA,Líneas Y Geoglifos De Nasca Y Palpa,Geoglifos (Grabado en tierra),https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=254,-7.513.001.561,-1.473.900.594
Ica,Pisco,PARACAS,Reserva Nacional De Paracas,Reservas Nacionales,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=257,-7.633.722.544,-1.385.561.818
Áncash,Huarmey,HUARMEY,Playa Tuquillo,Playas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=258,-7.819.325,-100.175
Áncash,Huaraz,INDEPENDENCIA,Monumento Arqueológico Intangible Waullac,Zonas arqueológicas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=260,-7.751.372.427,-9.524.472.548
Lambayeque,Chiclayo,CHICLAYO,Catedral De Chiclayo,Catedral,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=261,-7.983.792.524,-6.771.675.585
Lambayeque,Chiclayo,CHICLAYO,Exconvento De Los Padres Franciscanos,Convento,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=262,-7.983.931.615,-6.771.152.403
Lambayeque,Chiclayo,CHICLAYO,Basílica San Antonio De Padua,Basílica,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=263,-7.984.277.487,-6.773.567.083
Lambayeque,Lambayeque,LAMBAYEQUE,Iglesia San Pedro De Lambayeque,Iglesias,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=269,-79.906.217,-6.703.459
Lambayeque,Lambayeque,MORROPE,Iglesia San Pedro De Mórrope,Iglesias,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=270,-8.001.520.147,-6.540.897.726
Lambayeque,Ferreñafe,FERREÑAFE,Iglesia Santa Lucía De Ferreñafe,Iglesias,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=271,-7.978.811,-66.397
Lambayeque,Lambayeque,LAMBAYEQUE,Museo Arqueológico Nacional Bruning,Museos,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=272,-7.990.389,-670.403
Lambayeque,Chiclayo,PIMENTEL,Playa Pimentel,Playas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=274,-7.993.747,-683.773
Lambayeque,Chiclayo,PIMENTEL,Playa Las Rocas,Playas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=276,-7.993.587.939,-6.855.251.044
Lambayeque,Lambayeque,TUCUME,Leyenda Del Carretón,Otros,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=277,-798.596,-650.974
Lambayeque,Chiclayo,SANTA ROSA,Playa Santa Rosa,Playas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=278,-7.992.165,-688.389
Lambayeque,Ferreñafe,PITIPO,Santuario Histórico Bosque De Pómac,Santuarios Históricos,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=279,-7.975.318,-648.641
Puno,San Roman,JULIACA,Templo De La Merced,Templo,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=282,-7.013.172.716,-1.549.655.452
Lambayeque,Chiclayo,PIMENTEL,Muelle De Pimentel,Muelles,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=283,-7.993.791,-683.571
Lambayeque,Chiclayo,MONSEFU,Parque Artesanal De Monsefú,Otros,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=284,-7.986.834,-687.809
Loreto,Maynas,MAZAN,Pueblo De Mazan,Tradicionales,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=287,-73.091.399,-3.496.289
Loreto,Maynas,IQUITOS,Museo Amazónico,Museos,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=289,-7.324.435.737,-3.752.446.702
Loreto,Maynas,IQUITOS,Casa De Fierro,Casa de Valor Arquitectónico,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=290,-7.324.406.862,-3.749.891.405
Loreto,Maynas,IQUITOS,Ex Hotel Palace,Casa de Valor Arquitectónico,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=291,-7.324.371.457,-3.750.688.992
Loreto,Maynas,SAN JUAN BAUTISTA,Mercado Artesanal Turístico De San Juan,Ferias Artesanales,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=299,-732.866,-377.442
Loreto,Maynas,IQUITOS,El Inchicapi,Platos Típicos,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=302,-732.622,-374.993
Loreto,Maynas,SAN JUAN BAUTISTA,Fiesta Patronal San Juan Bautista,Fiestas religiosas-patronales,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=303,-732.622,-374.993
Loreto,Maynas,IQUITOS,Tacacho,Platos Típicos,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=305,-732.622,-374.993
Loreto,Maynas,IQUITOS,Timbuche,Platos Típicos,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=306,-732.622,-374.993
Loreto,Maynas,PUNCHANA,Momón El Guardián Del Bosque,Cuentos,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=309,-732.622,-374.993
Loreto,Maynas,IQUITOS,Nina Juane,Platos Típicos,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=310,-732.622,-374.993
Loreto,Maynas,IQUITOS,Sudado De Gamitana,Platos Típicos,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=311,-732.622,-374.993
Loreto,Maynas,IQUITOS,Paiche Frito Con Chonta Y Yuca O Platano,Platos Típicos,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=312,-732.622,-374.993
Loreto,Maynas,IQUITOS,Ensalada De Chonta O Palmito,Platos Típicos,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=313,-732.622,-374.993
Puno,San Roman,JULIACA,Templo Matriz De Santa Catalina,Templo,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=314,-701.347.661,-1.549.340.633
Loreto,Maynas,IQUITOS,Masato,Bebidas Típicas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=316,-732.622,-374.993
Loreto,Maynas,IQUITOS,Changanacuy,Música y Danzas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=320,-732.622,-374.993
Junín,Huancayo,HUANCAYO,Catedral De Huancayo,Iglesias,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=321,-7.520.990.252,-1.206.770.222
Moquegua,Mariscal Nieto,MOQUEGUA,Iglesia  Belén,Iglesias,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=322,-7.093.124.807,-1.719.150.671
Moquegua,Mariscal Nieto,MOQUEGUA,Casa Chocano,Casa de Valor Arquitectónico,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=327,-7.093.473.738,-1.719.432.574
Moquegua,Mariscal Nieto,TORATA,Molinos Coloniales-Fundo La Bobeda,Molino,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=330,-708.552,-170.773
Moquegua,Mariscal Nieto,CUCHUMBAYA,Aguas Termales De Cuchumbaya,Otros,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=332,-70.682.981,-16.751.665
Moquegua,Mariscal Nieto,SAN CRISTÓBAL,Geiser De Puente Bello,Geiser,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=333,-7.047.249.056,-1.655.408.272
Moquegua,Mariscal Nieto,TORATA,Iglesia San Agustín De Torata,Iglesias,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=334,-7.084.406.722,-1.707.632.831
Moquegua,Mariscal Nieto,TORATA,Zona Arqueológica Monumental Cerro Baúl,Recintos ceremoniales,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=335,-7.085.997.074,-1.711.091.607
Moquegua,Mariscal Nieto,TORATA,Sitio Arqueológico Camata,Templos,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=338,-7.082.793.791,-1.704.538.628
Moquegua,Mariscal Nieto,TORATA,Cataratas De Mollesaja,Cataratas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=339,-70.889.649,-17.111.102
Moquegua,General Sanchez Cerro,OMATE,Valle De Omate,Valles,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=342,-7.097.020.984,-1.667.400.734
Moquegua,General Sanchez Cerro,QUINISTAQUILLAS,Catarata El Chorro,Cataratas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=343,-7.087.639.773,-1.674.932.173
Moquegua,General Sanchez Cerro,COALAQUE,Aguas Termales De Ullucán,Otros,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=344,-710.374.357,-1.660.405.042
Moquegua,General Sanchez Cerro,ICHUÑA,Aguas Termales De Ichuña,Otros,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=345,-705.362,-161.383
