REGIÓN,PROVINCIA,DISTRITO,NOMBRE DEL RECURSO,SUB TIPO CATEGORÍA,URL,LATITUD,LONGITUD
Lima,Yauyos,LARAOS,Cañon De Shutco,Cañones,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12413,-7.574.897,-1.237.829
Lima,Yauyos,LARAOS,La Palla Larahuina,Música y Danzas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12438,,
Lima,Yauyos,LARAOS,Montaña De Colores De Pucapampa,Otros,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12420,-7.567.854.268,-1.243.343.633
Lima,Yauyos,ALIS,Andenería De Huacta,Andenes,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12428,-7.578.705.921,-1.228.176.155
Lima,Yauyos,ALIS,Cañon De Uchco,Cañones,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12427,-7.575.366.919,-122.486.796
Lima,Yauyos,ALIS,Bosque De Lloclla,Bosques,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12421,-7.580.789.683,-122.672.298
Lima,Yauyos,ALIS,Puente Colgante De Tinco,Puentes Modernos,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12418,-756.928.504,-1.228.705.079
Lima,Yauyos,TANTA,Escalerayoc De Tanta,Otros,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12426,-7.595.767.021,-1.202.442.029
Lima,Yauyos,TANTA,Laguna De Mullucocha De Tanta,Lagunas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12328,-7.596.666.117,-1.204.304.863
Loreto,Alto Amazonas,YURIMAGUAS,Centro De Conservación Ecológico Sinchi Wasi,Centros de rescate o conservación,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12374,-76.121.944,-5.922.222
Lima,Yauyos,TANTA,Sitio Arqueologico Pirja Pirja De Tanta,Ciudadelas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12453,-7.600.818.511,-1.205.667.791
